Sale Order Item Code,Sale Order Received,Original Sale Order Code,Item Name,Item SkuCode,Reverse Pickup No,Tracking No,Dispatched Date,Reference Code,Bulk Return Id,Reverse Pickup Created,Reverse Pickup Last Updated,Reverse Pickup Status,Reverse Pickup Action,Return Reason,Customer Image Url,Replacement Sale Order Code,Channel Name,Total Received Items,QC Comment,Reverse Pickup Created By,Putaway Code,Putaway Created By,Putaway Status,Putaway Last Updated,Courier Provider Name,Return Item Status,Shipping Courier Status,Shipping Tracking Status,Item Seal Id,Return Delivery Date,Channel Return Created Date,Return Courier Name,Return Remarks,Item Details
331356977892421100-1,2024-05-26 14:41:17,OD331356977892421100,HFT-22H1T_GM2,HFT-22H1T_GM2-28,RP2024-2546527,,2024-05-27 13:01:38,,,2024-07-01 11:13:05,2024-07-01 11:13:05,CREATED,WAC,Return To Origin,,,FLIPKART_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5447915,arpit.tiwari@xpressbees.com,CREATED,2024-07-01 11:13:05,,GOOD_INVENTORY,,,,,2024-07-01 11:13:05,,,
405-5981519-2763549-1,2024-06-09 02:33:57,405-5981519-2763549,HFT-22HH-H3,HFT-22HH-H3-26,RP2024-2546528,,2024-06-10 10:23:44,,,2024-07-01 11:13:06,2024-07-01 11:13:05,CREATED,WAC,Return To Origin,,,AMAZON_FLEX_API_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5447916,arpit.tiwari@xpressbees.com,CREATED,2024-07-01 11:13:05,,GOOD_INVENTORY,,,,,2024-07-01 11:13:06,,,
406-2454951-9288365-1-0,2024-06-25 23:48:19,406-2454951-9288365,HFT-22HH-F2,HFT-22HH-F2-26,d3263de9-e1b6-47eb-bfc1-cce91662f24a,627158333714,2024-06-26 09:13:07,,,2024-07-01 12:28:31,2024-07-11 16:59:58,COURIER_ALLOCATED,WAC,Too large,,,AMAZON_FLEX_API_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT5984534,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:59:58,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-08 17:52:06,2024-06-29 18:06:55,,,
406-2454951-9288365-1-1,2024-06-25 23:48:19,406-2454951-9288365,HFT-22HH-OL,HFT-22HH-OL-26,d3263de9-e1b6-47eb-bfc1-cce91662f24a,627158333714,2024-06-26 09:13:07,,,2024-07-01 12:28:31,2024-07-11 16:59:58,COURIER_ALLOCATED,WAC,Too large,,,AMAZON_FLEX_API_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT5984534,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:59:58,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-08 17:52:06,2024-06-29 18:06:55,,,
9981401392,2024-06-25 13:09:05,d6e4ab2d-81b2-4018-a85e-286281d65746,HFT-22H2T-MA_NA2,HFT-22H2T-MA_NA2-24,RP2024-2546529,MYER1013832195,2024-06-25 14:21:26,,,2024-07-01 13:48:43,2024-07-16 11:25:26,COURIER_ALLOCATED,WAC,Size is too Large,,,MYNTRAPPMP_Bhiwandi,1,,arpit.tiwari@xpressbees.com,PT6259883,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 11:25:26,ML,GOOD_INVENTORY,CUSTOMER_RETURN-CONFIRMED,CIR_COURIER_ASSIGNED,,,2024-07-01 13:48:43,,,
405-2597102-9214709-1-1,2024-06-20 14:25:21,405-2597102-9214709,HFT-22HH-H4,HFT-22HH-H4-28,0abdd901-0473-404a-bd49-e51e3efc1859,627161297775,2024-06-21 10:13:57,,,2024-07-01 17:43:20,2024-07-27 14:49:55,COURIER_ALLOCATED,WAC,Did not like color,,,AMAZON_FLEX_API_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT6973615,arpit.tiwari@xpressbees.com,CREATED,2024-07-27 14:49:55,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-08 17:52:06,2024-06-30 17:40:59,,,
405-2597102-9214709-1-0,2024-06-20 14:25:21,405-2597102-9214709,HFT-22HH-JG,HFT-22HH-JG-28,0abdd901-0473-404a-bd49-e51e3efc1859,627161297775,2024-06-21 10:13:57,,,2024-07-01 17:43:20,2024-07-27 14:49:55,COURIER_ALLOCATED,WAC,Did not like color,,,AMAZON_FLEX_API_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT6973615,arpit.tiwari@xpressbees.com,CREATED,2024-07-27 14:49:55,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-08 17:52:06,2024-06-30 17:40:59,,,
331581928715048100-1,2024-06-21 15:41:53,OD331581928715048100,HFT-HBW02-MU,HFT-HBW02-MU-36,RP2024-2546530,5964727829992,2024-06-22 12:56:39,,,2024-07-01 20:19:40,2024-07-10 12:36:01,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5916177,arpit.tiwari@xpressbees.com,CREATED,2024-07-10 12:36:01,Delhivery Reverse,GOOD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 20:19:40,,,
431605735565859100-1,2024-06-24 09:40:36,OD431605735565859100,HFT-HBW02-MU,HFT-HBW02-MU-36,RP2024-2546531,FMPR0592654752,2024-06-24 12:48:37,,,2024-07-01 20:20:05,2024-07-16 11:16:23,COURIER_ALLOCATED,WAC,QUALITY_ISSUES,,,FLIPKART_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT6259856,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 11:16:23,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 20:20:05,,,
331606011516194100-1,2024-06-24 10:31:01,OD331606011516194100,HFT-H3P-BE_MA_SB2,HFT-H3P-BE_MA_SB2-30,RP2024-2546532,FMPR0592655900,2024-06-24 12:48:37,,,2024-07-01 20:20:06,2024-07-11 16:15:04,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5983116,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:15:04,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-10 00:34:07,2024-07-01 20:20:06,,,
59612803693,2024-06-23 17:00:29,59612803693,BUL-BTP21-001L,BUL-BTP21-001L-2XL,RP2024-2546533,SDLR5000484187,2024-06-25 09:43:34,,,2024-07-01 20:54:16,2024-07-16 11:21:09,COURIER_ALLOCATED,WAC,Size_too_Large,,,SNAPDEAL_BODYGLOVE_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT6259866,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 11:21:09,DUMMY,GOOD_INVENTORY,,NO_INFORMATION,,,2024-07-01 20:54:16,,,
59615967760-1,2024-06-24 02:12:55,59615967760,HFT-22HH-BU,HFT-22HH-BU-30,RP2024-2546534,SDLR5000488890,2024-06-26 09:08:40,,,2024-07-02 00:43:30,2024-07-16 11:20:26,COURIER_ALLOCATED,WAC,i_have_an_issue_with_size_fit,,,SNAPDEAL_BODYGLOVE_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT6259863,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 11:20:26,DUMMY,GOOD_INVENTORY,,NO_INFORMATION,,,2024-07-02 00:43:30,,,
59615967760-0,2024-06-24 02:12:55,59615967760,HFT-22HH-OL,HFT-22HH-OL-30,RP2024-2546534,SDLR5000488890,2024-06-26 09:08:40,,,2024-07-02 00:43:30,2024-07-16 11:20:26,COURIER_ALLOCATED,WAC,i_have_an_issue_with_size_fit,,,SNAPDEAL_BODYGLOVE_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT6259863,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 11:20:26,DUMMY,GOOD_INVENTORY,,NO_INFORMATION,,,2024-07-02 00:43:30,,,
407-0242530-9907518-1,2024-06-25 17:09:00,407-0242530-9907518,HFT-H3T-NA2_TY_DG2,HFT-H3T-NA2_TY_DG2-36,134422b3-291c-444d-ac31-432e3df4be3f,627159863159,2024-06-26 09:14:31,,,2024-07-02 05:15:54,2024-07-22 17:04:23,COURIER_ALLOCATED,WAC,Performance or quality not adequate,,,AMAZON_FLEX_API_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT6649998,arpit.tiwari@xpressbees.com,CREATED,2024-07-22 17:04:23,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-08 17:52:06,2024-06-30 10:23:25,,,
9975955649,2024-06-20 12:36:07,32384f3e-861a-4066-af1c-026b8d76458c,HFT-H3T-BL_FG2_GM,HFT-H3T-BL_FG2_GM-24,RP2024-2546535,MYSR1064617324,2024-06-20 14:06:50,,,2024-07-02 12:15:11,2024-07-11 16:24:23,COURIER_ALLOCATED,WAC,Received a poor quality product,,,MYNTRAPPMP_Bhiwandi,1,,arpit.tiwari@xpressbees.com,PT5983151,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:24:23,ML,GOOD_INVENTORY,CUSTOMER_RETURN-CONFIRMED,CIR_COURIER_ASSIGNED,,,2024-07-02 12:15:11,,,
9985265064,2024-06-29 09:45:38,dedf4d64-df24-4dee-9088-802775c76913,HFT-H3T-BL_DG2_GM3,HFT-H3T-BL_DG2_GM3-24,RP2024-2546536,MYSR1064924212,2024-06-29 12:32:39,,,2024-07-02 14:09:28,2024-07-11 16:19:05,COURIER_ALLOCATED,WAC,Size is too Large,,,MYNTRAPPMP_Bhiwandi,1,,arpit.tiwari@xpressbees.com,PT5983129,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:19:05,ML,GOOD_INVENTORY,CUSTOMER_RETURN-CONFIRMED,CIR_COURIER_ASSIGNED,,,2024-07-02 14:09:28,,,
331640893494620100-1,2024-06-28 11:21:37,OD331640893494620100,HFT-HBW02-LG,HFT-HBW02-LG-26,RP2024-2546537,5964729800422,2024-06-28 12:56:56,,,2024-07-02 16:37:07,2024-07-16 12:08:55,COURIER_ALLOCATED,WAC,MULTIPLE_ISSUES_WITH_PRODUCT,,,FLIPKART_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT6261929,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 12:08:55,Delhivery Reverse,BAD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-02 16:37:07,,,
9984672744,2024-06-28 15:26:08,f7870fc6-6762-4cbf-84b0-7b891942a3ec,HFT-223HW07-TQ_BU,HFT-223HW07-TQ_BU-30,RP2024-2546538,MYER1013891744,2024-06-29 12:32:15,,,2024-07-02 17:29:10,2024-07-11 16:13:58,COURIER_ALLOCATED,WAC,I did not like the fit,,,MYNTRAPPMP_Bhiwandi,1,,arpit.tiwari@xpressbees.com,PT5983113,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:13:58,ML,GOOD_INVENTORY,CUSTOMER_RETURN-CONFIRMED,CIR_COURIER_ASSIGNED,,,2024-07-02 17:29:10,,,
402-8040952-2541117-1,2024-06-16 21:58:01,402-8040952-2541117,HFT-VP3-020_021_022,HFT-VP3-020_021_022-30,67501bba-ea39-48f3-a479-32d2be15f74c,14931175569494,2024-06-25 13:02:39,,,2024-07-02 17:55:32,2024-07-11 16:26:02,COURIER_ALLOCATED,WAC,Performance or quality not adequate,,,AMAZON_FLEX_API_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5983154,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:26:01,DLV,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-09 17:15:31,2024-07-01 15:02:31,,,
9985407448,2024-06-29 12:50:23,bb380c84-5647-4091-8d82-51c9344471fe,HFT-H3T-NA2_TY_DG2,HFT-H3T-NA2_TY_DG2-26,RP2024-2546539,MYSR1064944075,2024-06-29 14:30:57,,,2024-07-02 18:11:54,2024-07-27 15:27:19,COURIER_ALLOCATED,WAC,Received a poor quality product,,,MYNTRAPPMP_Bhiwandi,1,,arpit.tiwari@xpressbees.com,PT6976533,arpit.tiwari@xpressbees.com,CREATED,2024-07-27 15:27:19,ML,BAD_INVENTORY,CUSTOMER_RETURN-CONFIRMED,CIR_COURIER_ASSIGNED,,,2024-07-02 18:11:54,,,
431627237248379100-1,2024-06-26 21:30:54,OD431627237248379100,HFT-HBW02-LG,HFT-HBW02-LG-26,RP2024-2546540,FMPR0593223825,2024-06-27 12:58:34,,,2024-07-02 20:33:54,2024-07-12 00:48:22,COURIER_ALLOCATED,WAC,QUALITY_ISSUES,,,FLIPKART_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5983245,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:52:48,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-12 00:48:22,2024-07-02 20:33:54,,,
405-2194868-9079512-1,2024-06-27 16:51:13,405-2194868-9079512,HFT-H3T-NA2_TY_DG2,HFT-H3T-NA2_TY_DG2-36,6b8d416b-6f6d-4d3e-9587-2cf3a673500c,627164013426,2024-06-28 08:59:09,,,2024-07-02 23:49:45,2024-07-11 16:25:30,COURIER_ALLOCATED,WAC,No longer needed/wanted,,,AMAZON_FLEX_API_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5983153,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:25:30,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-09 17:49:31,2024-07-01 14:46:57,,,
331658677204685100-1,2024-06-30 12:52:01,OD331658677204685100,HFT-23HW10_BLG,HFT-23HW10_BLG-32,RP2024-2546541,FMPR0593527343,2024-06-30 14:41:48,,,2024-07-03 16:16:57,2024-07-13 00:46:00,COURIER_ALLOCATED,WAC,MULTIPLE_ISSUES_WITH_PRODUCT,,,FLIPKART_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5983122,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:16:52,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-13 00:46:00,2024-07-03 16:16:57,,,
9967428320,2024-06-11 22:53:37,980dfbbf-220a-4c5a-9c93-5872b392e57f,HFT-H3P-BE_MA_SB2,HFT-H3P-BE_MA_SB2-30,RP2024-2546542,,2024-06-12 12:34:33,,,2024-07-03 16:44:06,2024-07-03 16:44:05,CREATED,WAC,Return To Origin,,,MYNTRAPPMP_Bhiwandi,1,,arpit.tiwari@xpressbees.com,PT5565287,arpit.tiwari@xpressbees.com,CREATED,2024-07-03 16:44:05,,GOOD_INVENTORY,,,,,2024-07-03 16:44:06,,,
35190366-1,2024-06-14 22:52:12,17183854340196145A,HFT-22HH-H1,HFT-22HH-H1-32,RP2024-2546543,,2024-06-15 10:11:55,,,2024-07-03 16:44:08,2024-07-03 16:44:07,CREATED,WAC,Return To Origin,,,JIOMART3P_API_BODYGLOVE_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5565289,arpit.tiwari@xpressbees.com,CREATED,2024-07-03 16:44:07,,GOOD_INVENTORY,,,,,2024-07-03 16:44:08,,,
406-8127606-4492316-1,2024-06-25 22:42:00,406-8127606-4492316,BUL-BTP21-001U,BUL-BTP21-001U-2XL,e3031784-095d-4165-998e-c72b39065972,627168800770,2024-06-26 09:14:31,,,2024-07-03 19:35:50,2024-07-16 11:23:07,COURIER_ALLOCATED,WAC,Too large,,,AMAZON_FLEX_API_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT6259873,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 11:23:07,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-11 17:56:43,2024-07-02 18:54:22,,,
331627494142729100-1-1,2024-06-26 22:11:22,OD331627494142729100,HFT-22HH-JG,HFT-22HH-JG-30,RP2024-2546544,FMPR0593352463,2024-06-27 12:58:34,,,2024-07-03 20:26:34,2024-07-30 14:55:43,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT7179708,arpit.tiwari@xpressbees.com,CREATED,2024-07-30 14:55:43,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-03 20:26:34,,,
331627494142729100-1-0,2024-06-26 22:11:22,OD331627494142729100,HFT-22HH-RU,HFT-22HH-RU-30,RP2024-2546544,FMPR0593352463,2024-06-27 12:58:34,,,2024-07-03 20:26:34,2024-07-30 14:55:43,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT7179708,arpit.tiwari@xpressbees.com,CREATED,2024-07-30 14:55:43,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-03 20:26:34,,,
407-4117696-1037913-1,2024-06-25 03:56:15,407-4117696-1037913,HFT-HBW02-CR,HFT-HBW02-CR-28,c636e199-9ee3-4aeb-bc30-20f976fd55aa,627165211197,2024-06-26 09:14:31,,,2024-07-03 20:58:10,2024-07-16 11:27:50,COURIER_ALLOCATED,WAC,Too small,,,AMAZON_FLEX_API_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT6259892,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 11:27:50,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-11 17:56:43,2024-07-01 19:45:30,,,
408-1890869-9948314-1-0,2024-06-28 17:13:21,408-1890869-9948314,HFT-22HH-F2,HFT-22HH-F2-26,5dad1778-a4b9-4957-9231-5ab6e9eb7e6f,627166829957,2024-06-29 09:05:29,,,2024-07-03 23:12:47,2024-07-16 11:27:59,COURIER_ALLOCATED,WAC,Performance or quality not adequate,,,AMAZON_FLEX_API_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT6259893,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 11:27:59,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-11 17:56:43,2024-07-02 10:52:45,,,
408-1890869-9948314-1-1,2024-06-28 17:13:21,408-1890869-9948314,HFT-22HH-H2,HFT-22HH-H2-26,5dad1778-a4b9-4957-9231-5ab6e9eb7e6f,627166829957,2024-06-29 09:05:29,,,2024-07-03 23:12:47,2024-07-16 11:27:59,COURIER_ALLOCATED,WAC,Performance or quality not adequate,,,AMAZON_FLEX_API_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT6259893,arpit.tiwari@xpressbees.com,CREATED,2024-07-16 11:27:59,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-11 17:56:43,2024-07-02 10:52:45,,,
431649056506465101-1,2024-06-29 10:02:22,OD431649056506465100,HFT-22HH-F4,HFT-22HH-F4-26,RP2024-2546545,FMPR0593327377,2024-06-29 12:25:49,,,2024-07-04 00:23:15,2024-07-12 00:48:25,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,1,,,,,,,Ekart Logistics,,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-12 00:48:25,2024-07-04 00:23:15,,,
431649056506465100-1,2024-06-29 10:02:22,OD431649056506465100,HFT-22HH-RU,HFT-22HH-RU-28,RP2024-2546546,FMPR0593297371,2024-06-29 12:25:49,,,2024-07-04 00:23:15,2024-07-12 00:48:25,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,1,,,,,,,Ekart Logistics,,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-12 00:48:25,2024-07-04 00:23:15,,,
402-0715232-6831555-1-1,2024-06-25 20:19:11,402-0715232-6831555,HFT-22HH-H4,HFT-22HH-H4-36,6be968ef-9396-45f8-8bf2-55ec074cd302,627169256095,2024-06-26 09:13:07,,,2024-07-04 00:33:29,2024-07-11 16:28:47,COURIER_ALLOCATED,WAC,Performance or quality not adequate,,,AMAZON_FLEX_API_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT5983158,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:28:47,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-09 17:49:31,2024-07-02 20:48:23,,,
